"shoot","gravity","acres","percent","island","box","grandmother","nuts","cloud","stared","might","yard","necessary","would","available"
"happen","function","closer","gradually","particularly","record","column","stuck","heard","bit","nodded","sun","far","card","end"
"expression","screen","save","rabbit","roll","boat","sort","soap","chair","away","step","education","dream","answer","yesterday"
"planning","public","flame","fuel","third","feed","alone","camp","wheel","build","putting","information","planning","south","stuck"
"we","scared","consist","highest","act","successful","up","shade","accept","practice","poor","view","forward","unknown","taken"
"form","muscle","positive","see","after","fifteen","burn","money","himself","queen","held","warm","strike","rise","bare"
"its","off","zoo","next","powerful","string","equipment","establish","meat","population","powerful","mice","principal","business","news"
"becoming","rush","elephant","measure","power","pupil","sudden","shelf","hard","attached","pitch","baby","bare","sang","visit"
"view","slope","equal","flight","vowel","weak","thrown","shirt","region","doll","bridge","rod","love","highest","calm"
"fur","leg","rest","flat","powerful","seen","musical","ocean","tent","attention","body","tried","thrown","under","lady"
"observe","hole","attack","ball","recognize","quietly","fur","indicate","sweet","additional","her","people","hunter","mother","studying"
"vote","ten","arrive","wave","middle","social","person","electricity","somebody","drink","sitting","morning","store","cream","ate"
"sky","effect","setting","famous","toy","entire","lie","hang","goes","nothing","flew","whole","nearer","coal","element"
"led","on","am","classroom","shoe","giant","seldom","experience","market","class","writer","down","beginning","below","correctly"
"running","become","gently","machinery","usually","origin","measure","mud","salt","swung","prevent","only","market","gently","recognize"
"when","almost","advice","salt","heart","motion","rising","somehow","matter","given","step","fresh","white","molecular","needed"
"busy","possibly","busy","natural","dug","phrase","direct","writer","seen","pattern","class","studying","bright","native","fair"
"wooden","be","bound","studied","new","beyond","solar","finally","struck","usual","salmon","slow","driven","easier","burn"
"smooth","brought","appearance","positive","forget","paint","dry","arrangement","telephone","border","back","love","gain","your","word"
"lift","save","husband","key","writing","decide","fog","continent","contrast","belong","difficult","recognize","cutting","gradually","her"
"rhythm","dot","peace","unless","hung","funny","everywhere","evidence","slight","bent","certain","if","lips","whose","eat"
"monkey","wagon","butter","collect","corn","sweet","stopped","former","driven","guess","conversation","baseball","roar","examine","for"
"sudden","known","slept","here","lead","pie","rapidly","fence","wind","strong","hospital","toy","suppose","tool","advice"
"us","perfect","damage","telephone","doubt","correctly","military","got","written","total","major","pocket","won","own","applied"
"shinning","cream","store","throat","summer","slightly","them","hair","key","compound","fighting","layers","rice","ship","discussion"
"compass","taste","screen","clay","scene","anyone","body","fight","through","win","softly","flat","dull","jet","per"
"moon","may","newspaper","lips","southern","early","fur","met","group","press","grandfather","back","job","when","earth"
"pool","gray","rubbed","balloon","butter","development","vessels","we","welcome","scared","her","greatly","perfectly","popular","think"
"official","root","laid","perfectly","tie","which","needs","fifteen","label","suit","fighting","shorter","speech","comfortable","take"
"told","help","earth","arrow","leaving","mix","curve","card","root","dear","gas","worth","from","lower","sentence"
"chest","rule","fierce","mission","term","shoot","scared","heat","layers","roll","doing","airplane","sat","whistle","those"
"rubber","leather","funny","describe","fix","spring","cotton","forget","fear","mighty","local","hat","plant","night","variety"
"numeral","then","breathing","reason","satellites","were","war","locate","beside","declared","soft","art","personal","range","church"
"either","suddenly","obtain","pictured","certainly","number","health","control","bill","attempt","collect","stomach","smoke","rather","tool"
"clay","yard","visit","view","scale","circus","hot","positive","does","theory","simple","worker","teach","letter","decide"
"declared","stone","band","balloon","affect","tide","moving","depth","cream","manner","mind","themselves","during","running","told"
"flame","lie","give","baby","represent","floating","tightly","bean","location","crack","separate","primitive","well","compare","sum"
"express","farmer","give","telephone","crop","finger","stared","mixture","eight","rush","won","cross","move","entire","correctly"
"smooth","tight","prove","establish","honor","dust","space","climate","coffee","thrown","pupil","ordinary","location","tree","barn"
"wish","free","fly","is","football","missing","except","score","detail","taste","western","of","mean","lungs","back"
"swung","cold","nation","tried","scientist","forth","jungle","independent","gun","magic","powder","main","roll","mistake","track"
"pour","largest","minerals","rock","slabs","neighbor","whom","shore","uncle","fuel","contain","globe","case","particularly","easy"
"has","given","differ","greater","strength","mostly","wealth","half","instrument","basis","stock","fighting","accurate","mud","climate"
"single","month","lead","whale","valley","stood","case","distance","crop","occasionally","independent","ago","up","include","drew"
"shallow","command","whatever","never","pencil","operation","sold","rich","bright","sea","voyage","further","might","hardly","origin"
"triangle","tonight","detail","body","ate","four","beside","harder","unhappy","headed","torn","port","nails","single","shown"
"available","none","gentle","ruler","grain","idea","themselves","leaf","queen","master","pride","whistle","central","automobile","slept"
"generally","magnet","century","calm","flag","motion","satisfied","raw","except","apple","week","essential","compound","angry","think"
"dear","frog","refer","dog","eaten","see","baby","mean","determine","compare","instead","idea","plan","know","fence"
"hunt","rising","lunch","desk","president","grandmother","sing","happy","live","massage","future","party","football","indeed","driving"
"take","highest","start","cell","happy","select","plate","key","positive","step","these","ship","nest","object","lesson"
"heat","hollow","rapidly","of","connected","laid","primitive","interest","live","vote","wind","forty","left","enough","adventure"
"hearing","thee","its","cabin","money","cowboy","sheep","include","properly","watch","gradually","affect","where","has","freedom"
"touch","breeze","eat","balloon","race","facing","ice","tales","none","nor","growth","contain","girl","couple","caught"
"whistle","official","airplane","being","dropped","black","cost","football","slight","orange","mission","difficult","roar","milk","report"
"day","on","torn","pull","jar","game","compound","deer","row","cold","famous","try","dirt","movement","rhyme"
"temperature","both","floating","loss","enjoy","prize","floor","addition","crop","pink","personal","wave","highway","card","excited"
"percent","wire","butter","usually","poet","hay","below","swing","stranger","spent","experience","addition","comfortable","married","cry"
"poetry","stay","quick","purpose","proper","there","perfectly","friend","salt","kept","particular","completely","perfect","other","against"
"becoming","give","have","comfortable","law","passage","sent","cup","possible","labor","division","studying","respect","exactly","whenever"
"industry","bottom","sky","positive","street","tube","satisfied","able","camera","excellent","yard","foot","sail","about","printed"
"hill","dawn","never","nor","mouth","about","wealth","goes","printed","usual","recall","get","dog","information","shorter"
"stairs","teeth","danger","son","port","feature","until","wall","level","audience","eight","state","five","happily","dot"
"supper","made","command","exercise","close","origin","social","forgot","tent","rocket","information","farther","seldom","arrangement","she"
"home","visitor","wave","thy","excited","late","spoken","gas","ought","tone","tired","love","our","leaving","flag"
"of","want","straw","anything","mood","particularly","cattle","taste","meant","are","tail","take","triangle","breeze","house"
"flag","broken","soft","closely","distance","give","weight","sometime","into","perfectly","shake","useful","onto","farther","truth"
"why","atom","alphabet","substance","firm","corner","depend","depend","mental","teacher","stranger","ahead","jump","spider","town"
